date,oni,roni,phase
1950-01-01,-1.53,-1.47,La Nina
1950-02-01,-1.34,-1.27,La Nina
1950-03-01,-1.16,-1.11,La Nina
1950-04-01,-1.18,-1.09,La Nina
1950-05-01,-1.07,-1.0,La Nina
1950-06-01,-0.85,-0.71,La Nina
1950-07-01,-0.54,-0.41,La Nina
1950-08-01,-0.42,-0.24,Neutral
1950-09-01,-0.39,-0.22,Neutral
1950-10-01,-0.44,-0.29,Neutral
1950-11-01,-0.6,-0.41,La Nina
1950-12-01,-0.8,-0.56,La Nina
1951-01-01,-0.82,-0.5,La Nina
1951-02-01,-0.54,-0.17,La Nina
1951-03-01,-0.17,0.25,Neutral
1951-04-01,0.18,0.6,Neutral
1951-05-01,0.36,0.64,Neutral
1951-06-01,0.58,0.69,El Nino
1951-07-01,0.7,0.68,El Nino
1951-08-01,0.89,0.81,El Nino
1951-09-01,0.99,0.87,El Nino
1951-10-01,1.15,0.98,El Nino
1951-11-01,1.04,0.91,El Nino
1951-12-01,0.81,0.8,El Nino
1952-01-01,0.53,0.58,El Nino
1952-02-01,0.37,0.44,Neutral
1952-03-01,0.34,0.42,Neutral
1952-04-01,0.29,0.44,Neutral
1952-05-01,0.2,0.31,Neutral
1952-06-01,0.0,0.07,Neutral
1952-07-01,-0.08,-0.04,Neutral
1952-08-01,0.0,0.03,Neutral
1952-09-01,0.15,0.13,Neutral
1952-10-01,0.1,0.01,Neutral
1952-11-01,0.04,-0.01,Neutral
1952-12-01,0.15,0.2,Neutral
1953-01-01,0.4,0.53,Neutral
1953-02-01,0.6,0.76,El Nino
1953-03-01,0.63,0.77,El Nino
1953-04-01,0.66,0.83,El Nino
1953-05-01,0.75,0.84,El Nino
1953-06-01,0.77,0.79,El Nino
1953-07-01,0.75,0.67,El Nino
1953-08-01,0.73,0.66,El Nino
1953-09-01,0.78,0.7,El Nino
1953-10-01,0.84,0.77,El Nino
1953-11-01,0.84,0.81,El Nino
1953-12-01,0.81,0.93,El Nino
1954-01-01,0.76,0.99,El Nino
